producto,texto_feedback,categoria,severidad,producto_afectado,justificacion
Sofá Modular Mini Santorini Verdi Gris,Buenas tardes. En su página dice cobertura de entrega en rutas seleccionadas pero al poner mi dirección en Cartagena no me deja finalizar la compra. ¿Hacen envíos a la costa? ¿Hay algún costo adicional? Gracias.,queja,3,Logística / Servicio,"El cliente reporta un problema con la logística de envío, específicamente la imposibilidad de completar la compra por restricciones de cobertura, lo que afecta la experiencia de servicio."
Puff Olive Arena Calabria Marfil,El puff es bonito pero me pareció pequeño para el precio. En las fotos se ve más grande. Deberían poner una foto con una persona al lado para tener referencia del tamaño real.,feature_request,2,Puff Olive Arena Calabria Marfil,"El cliente sugiere una mejora en las fotos del producto para mostrar el tamaño real, lo cual es una solicitud de funcionalidad."
Base Cama Sion Doble,"Todo bien con la compra, pero sugiero que implementen un rastreo del pedido en línea. Tener que escribir por WhatsApp cada vez para saber dónde va el envío es desgastante.",feature_request,2,Logística / Servicio,"El cliente solicita una mejora en el seguimiento de envíos, lo cual es una sugerencia de funcionalidad, no un defecto ni queja grave."
Cama Nicho Jenny Sencilla Blanco Frente Nuez,"La cama de mi hija llegó incompleta, faltan los largueros y los tornillos del frente nuez. Los técnicos de armado vinieron y no pudieron hacer nada. Llevo 5 días esperando las piezas y nadie da razón. Pedido #OH-44987.",queja,5,Cama Nicho Jenny Sencilla Blanco Frente Nuez,"El cliente reporta un producto incompleto y falta de respuesta del servicio postventa, lo que constituye una queja por mala experiencia logística y de servicio."
Mesa Comedor Sion Rectangular,"Excelente mesa, robusta y elegante. El servicio de armado gratis es un plus enorme. Los muchachos dejaron todo limpio y se llevaron el empaque.",elogio,1,Mesa Comedor Sion Rectangular,"El cliente expresa satisfacción con el producto y el servicio, sin reportar problemas."
Sofá 3 Ptos Olive Calabria Marfil,"El sofá es lindo pero la entrega se demoró 18 días y la comunicación fue casi nula. Solo me enteraba de algo cuando yo escribía. El producto bien, la logística mal.",queja,4,Logística / Servicio,"El cliente expresa insatisfacción con la demora en la entrega y la falta de comunicación proactiva, lo cual es una queja sobre el servicio logístico."
Silla De Terraza Olive Terracota,"Quiero hacer válida la garantía. Compré 4 sillas de terraza hace 2 meses y a una se le descascaró la pintura con la lluvia. Si son para terraza deberían resistir la intemperie, ¿no? ¿Cómo es el proceso del manual de garantía?",queja,4,Silla De Terraza Olive Terracota,"El cliente reporta un defecto en el producto (pintura descascarada) que afecta su funcionalidad esperada, lo que constituye una queja sobre la calidad del producto."
Mesa Centro Sion Cuadrada Arena,"Buena mesa de centro, combina con todo. El único detalle es que llegó con un golpecito en una esquina, nada grave pero para el precio uno espera perfección.",queja,3,Mesa Centro Sion Cuadrada Arena,"El cliente reporta un daño leve en el producto recibido, lo que constituye una queja sobre la calidad de entrega o logística."
Silla Auxiliar Olive Calabria Marfil,"Me encantaría que tuvieran realidad aumentada en la página para ver cómo queda el mueble en mi sala antes de comprar, como hacen otras tiendas. Estuve a punto de no comprar por la duda del tamaño.",feature_request,3,Plataforma web,"El cliente solicita explícitamente una funcionalidad nueva (realidad aumentada) para mejorar la experiencia de compra, lo cual es una solicitud de mejora."
Combo Hogar Mérida Arena Ivory,"Compré el combo del mes y me llegaron el sofá y la mesa, pero faltó el puff. En la factura aparece todo. Llevo una semana escribiendo y me pasan de un asesor a otro sin solución. Muy mal servicio postventa.",queja,4,Logística / Servicio,"El cliente reporta una entrega incompleta (falta el puff) y una mala experiencia con el servicio postventa, lo que constituye una queja de severidad alta."
Sofá Modular Mini Santorini Verdi Ivory,"El modular Santorini transformó mi apartamento. Lo mejor es poder reorganizar los módulos según la ocasión. La tela ivory es delicada eso sí, recomiendo el protector de telas.",elogio,1,Sofá Modular Mini Santorini Verdi Ivory,"El cliente expresa satisfacción y destaca características positivas del producto, sin reportar defectos ni quejas."
Mesa De Terraza Olive Verde,Buena experiencia en general. La mesa llegó bien y a tiempo. Le pongo 8 porque el empaque traía demasiado plástico para una marca que se dice sostenible.,queja,2,Mesa De Terraza Olive Verde,"El cliente expresa insatisfacción con el empaque excesivo de plástico, lo que contradice la imagen sostenible de la marca, aunque la experiencia general fue buena."
Silla Reclinable Coral Houston beige,Después de un mes de uso el mecanismo reclinable empezó a sonar y se queda trabado a mitad de camino. Necesito visita técnica por garantía. ¿Tiene costo el desplazamiento? Pedido #OH-43215.,queja,4,Silla Reclinable Coral Houston beige,"El cliente reporta un defecto funcional del producto que requiere garantía, lo que indica una mala experiencia con la calidad del mueble."
Cuna Evolutiva Rory Arena,"Compramos la cuna Rory para nuestro primer bebé y estamos felices. Que sea evolutiva significa que nos va a durar años. La pintura no tiene olor, eso nos dio mucha tranquilidad.",elogio,1,Cuna Evolutiva Rory Arena,"El cliente expresa satisfacción y tranquilidad con el producto, destacando su durabilidad y seguridad, lo que constituye un feedback positivo."
Mueble Auxiliar Sion Arena,"El mueble bien, pero la página web es muy lenta desde el celular, las fotos de los productos cargan a pedazos y el filtro de precios no funciona en la categoría de auxiliares.",bug,3,Plataforma web,"El feedback describe múltiples fallos técnicos en la plataforma web (lentitud, carga parcial de imágenes y filtro roto), lo que corresponde a un bug con severidad media-alta por afectar la experiencia de compra."
Cama Mini Palermo Queen Roble Santana,"Los señores del armado llegaron 4 horas tarde de la cita y yo pedí permiso en el trabajo. Además dejaron la cama mal nivelada, se mueve toda. Necesito que vuelvan a nivelarla, esta vez puntuales por favor.",queja,4,Logística / Servicio,"El cliente reporta un incumplimiento grave en el servicio de armado (retraso de 4 horas) y un defecto en la instalación que afecta la funcionalidad del producto, lo que constituye una queja de alta severidad."
Sofa 2 Ptos Macarena Negro Idilio Crudo,Decepcionado. A los 20 días la tela del sofá Macarena empezó a hacer motas (pilling) y los cojines ya se ven vencidos. Para ser 'fabricantes con 10 años de garantía' la calidad de la tela deja mucho que desear.,queja,4,Sofa 2 Ptos Macarena Negro Idilio Crudo,"El cliente reporta un defecto de calidad en el producto (pilling y cojines vencidos) que afecta la experiencia de uso, lo cual es una queja sobre la calidad del mueble."
Silla De Comedor Emilia Avellana Veracruz Crema,Muy contenta con las sillas del comedor. Llegaron perfectas y el descuento del 30% hizo la diferencia. Solo sugiero ampliar el horario de entregas a sábados.,elogio,1,Silla De Comedor Emilia Avellana Veracruz Crema,"El feedback expresa satisfacción con el producto y la compra, y la sugerencia de horario es menor, por lo que se clasifica como elogio con baja severidad."
Sofá 3 Ptos Olive Calabria Marfil,"En la web el sofá aparece disponible pero después de pagar me llamaron a decir que no hay stock hasta dentro de un mes. Eso es publicidad engañosa. Quiero la devolución del dinero ya, no un bono.",queja,5,Sofá 3 Ptos Olive Calabria Marfil,"El cliente reporta una mala experiencia por falta de stock real después del pago, lo que constituye una queja grave sobre publicidad engañosa y servicio."
Mesa De Noche Sion Avellana,"Divinas las mesas de noche en avellana, compré dos y el tono es uniforme en ambas. Se nota la calidad de fabricante. El 20% de descuento fue el empujón final.",elogio,1,Mesa De Noche Sion Avellana,"El cliente expresa satisfacción con el producto, destacando su calidad y uniformidad, sin mencionar problemas."
Sofacama Multifuncional Houston Trigo,"Buen producto, pero deberían ofrecer financiación directa o pagos a cuotas sin tarjeta de crédito. Casi no logro comprarlo porque no manejo tarjeta. Un convenio con Addi o Sistecrédito ayudaría mucho.",feature_request,3,Sofacama Multifuncional Houston Trigo,"El cliente solicita una mejora en las opciones de pago, específicamente financiación directa o cuotas sin tarjeta de crédito, lo cual es una sugerencia de funcionalidad."
Base Cama Sion Doble,"Buen día. La base cama que me entregaron ayer huele muy fuerte a pegante/laca, me dio dolor de cabeza y tuve que sacarla al balcón. ¿Es normal? ¿Cuánto dura ese olor? ¿No es tóxico para un bebé?",queja,4,Base Cama Sion Doble,"El cliente reporta un fuerte olor químico que le causó dolor de cabeza, lo que indica un posible defecto de fabricación o falta de ventilación del producto, afectando la experiencia y la seguridad."
Mesa Comedor Sion Rectangular,"Pésima experiencia. La mesa llegó rayada, pedí el cambio y la segunda llegó con el mismo tipo de rayón en la cubierta. Claramente es un problema de empaque o de bodega. Dos meses perdidos en este proceso.",queja,4,Mesa Comedor Sion Rectangular,"El cliente reporta un producto defectuoso (rayado) y un proceso de cambio ineficaz, lo que constituye una queja por mala experiencia de producto y servicio."
Puff Olive Arena Calabria Marfil,"El puff está bien. La compra fue fácil. Me hubiera gustado más información sobre cómo limpiar la tela Calabria, no venía ninguna guía de cuidado.",feature_request,2,Puff Olive Arena Calabria Marfil,"El cliente solicita una mejora en la información del producto, específicamente una guía de cuidado para la tela."
Silla De Terraza Olive Negro,Pedí 6 sillas negras de terraza para mi restaurante y me llegaron 4 negras y 2 crema. Necesito el cambio urgente porque inauguro el sábado. Además quisiera saber si manejan precios al por mayor para negocios.,queja,4,Silla De Terraza Olive Negro,"Error en el envío: productos incorrectos (color equivocado) y urgencia por inauguración, lo que afecta la experiencia del cliente."
Silla Reclinable Coral Houston beige,"Cómoda la silla, mi esposo la usa todos los días. Le quito una estrella porque pesa muchísimo y entre dos personas apenas pudimos moverla para limpiar debajo.",queja,2,Silla Reclinable Coral Houston beige,"El cliente expresa una queja sobre el peso excesivo del producto, lo que dificulta su manipulación, pero no es un defecto crítico ni una falla de servicio."
Cama Nicho Jenny Sencilla Blanco Frente Nuez,Sugerencia: las camas nicho para niños deberían incluir opción de barandas de seguridad y cajones inferiores de almacenamiento. Tocó comprar las barandas por aparte en otra tienda y no combinan.,feature_request,3,Cama Nicho Jenny Sencilla Blanco Frente Nuez,"El cliente sugiere una mejora del producto (incluir barandas y cajones) y expresa insatisfacción por tener que comprar accesorios por separado, lo que indica una solicitud de funcionalidad adicional."
Combo Hogar Mérida Arena Ivory,"Hola, me cobraron dos veces el combo Mérida en la tarjeta. En el extracto aparecen dos cargos de $4.990.000 del mismo día. Solo hice una compra. Necesito la reversión de uno de los cargos urgente, es muchísima plata.",queja,5,Combo Hogar Mérida Arena Ivory,"El cliente reporta un cobro duplicado, lo cual es un problema grave de servicio y facturación que requiere atención urgente."
Silla De Terraza Olive Ivory,"Compré las Olive ivory para el balcón y quedaron espectaculares. Livianas, fáciles de limpiar y muy cómodas sin cojín. La mejor compra del año para mi apartamento.",elogio,1,Silla De Terraza Olive Ivory,"El feedback es completamente positivo, destacando la calidad y satisfacción con el producto, sin mencionar problemas o sugerencias."
Mesa De Noche Sion Arena,"Decepcionada. La mesa llegó a los 25 días, nadie respondía en servicio al cliente y cuando llegó el cajón venía descuadrado. El producto final es bonito pero el proceso fue un dolor de cabeza completo.",queja,4,Mesa De Noche Sion Arena,"El feedback combina demora en entrega, falta de respuesta en servicio al cliente y un defecto en el producto (cajón descuadrado), lo que indica una mala experiencia de servicio y logística."
Sofá Modular Mini Santorini Verdi Gris,Quiero comprar un módulo adicional para mi Santorini gris pero en la página solo venden el set completo. ¿Venden módulos individuales? Sería muy útil que en la web se pudieran armar configuraciones personalizadas módulo por módulo.,feature_request,2,Sofá Modular Mini Santorini Verdi Gris,El cliente solicita una mejora en la oferta de productos y en la funcionalidad de la web para comprar módulos individuales y personalizar configuraciones.
Cuna Evolutiva Rory Arena,"Bella la cuna y excelente calidad. Cuatro estrellas porque el manual de conversión a cama junior es confuso, tuvimos que buscar un video en YouTube de otra persona para entenderlo.",queja,2,Cuna Evolutiva Rory Arena,"El cliente expresa insatisfacción con la claridad del manual de instrucciones, lo que afecta la experiencia de uso del producto."
Mueble Auxiliar Sion Arena,Todo excelente con el mueble. Una idea: un programa de recompra o descuento por traer el mueble viejo. Tengo muebles que quiero renovar y no sé qué hacer con los antiguos. Iría con su discurso de sostenibilidad.,feature_request,2,Mueble Auxiliar Sion Arena,"El cliente sugiere una nueva funcionalidad (programa de recompra) que no es un defecto ni queja, sino una mejora alineada con sostenibilidad."
Sofa 2 Ptos Macarena Negro Idilio Crudo,"Señores Only Home, compré el sofá en la tienda física de la 140 y me dijeron que la entrega era en 5 días. Van 12 días. En la tienda me dicen que llame a la línea, en la línea que escriba al WhatsApp y aquí nadie contesta. ¿Quién responde?",queja,4,Logística / Servicio,"El cliente reporta un retraso significativo en la entrega (12 días vs 5 prometidos) y falta de respuesta en los canales de atención, lo que constituye una queja por mala experiencia de servicio y logística."
Cama Mini Palermo Doble Roble Santana,"La cama Palermo en roble Santana superó las expectativas. Sólida, sin chirridos, y el tono de la madera es cálido y elegante. El armado tomó 40 minutos y quedó perfecta.",elogio,1,Cama Mini Palermo Doble Roble Santana,El cliente expresa satisfacción y elogia la calidad y apariencia del producto.
Silla Auxiliar Olive Calabria Marfil,"Buena compra. La silla es más bonita en persona que en fotos. Sugerencia: la lista de deseos de la web no se sincroniza entre el celular y el computador, perdí mi selección dos veces.",feature_request,3,Plataforma web,"El cliente reporta un problema de sincronización de la lista de deseos, lo cual es una solicitud de mejora funcional de la plataforma web."
Mesa De Terraza Olive Verde,"La mesa de terraza llegó con el vidrio/superficie flojo, se mueve al apoyar cualquier cosa. Revisé y parece que faltan dos soportes de caucho. ¿Me los pueden enviar o debo iniciar proceso de garantía? Pedido #OH-46102.",queja,4,Mesa De Terraza Olive Verde,"El cliente reporta un defecto en el producto recibido (faltan soportes), lo que afecta su funcionalidad y requiere acción de garantía o envío de repuestos."
Combo Hogar Mérida Arena Ivory,"Compramos el combo Mérida para estrenar apartamento y fue la mejor decisión: todo combina, llegó en una sola entrega y el armado gratis nos ahorró horas. Gran relación calidad-precio comprando en combo.",elogio,1,Combo Hogar Mérida Arena Ivory,"El feedback es completamente positivo, destacando la calidad, entrega y servicio del producto."
Silla De Comedor Emilia Avellana Veracruz Crema,"Las sillas llegaron bien. Comentario sobre la web: el comparador de productos es confuso y no muestra las medidas lado a lado, que es justo lo que uno quiere comparar en sillas y mesas.",feature_request,3,Plataforma web,"El cliente sugiere una mejora en el comparador de productos para mostrar medidas lado a lado, lo cual es una solicitud de funcionalidad."
Silla Reclinable Coral Houston beige,"Hola, compré la silla reclinable hace 8 días y hoy la veo con 10% adicional de descuento en la página. ¿Aplican ajuste de precio retroactivo? Me parece injusto, si hubiera esperado me ahorraba más de 300 mil pesos.",queja,3,Silla Reclinable Coral Houston beige,"El cliente expresa insatisfacción por la falta de ajuste de precio tras una reducción, lo que constituye una queja sobre la política de precios y la experiencia de compra."
Sofá 3 Ptos Olive Calabria Marfil,Experiencia 10/10. Desde la asesoría por WhatsApp hasta el armado todo fue impecable. Se nota el orgullo de ser fabricantes. El sofá Olive es el protagonista de mi sala. Seguiré comprando con ustedes.,elogio,1,Sofá 3 Ptos Olive Calabria Marfil,"El feedback es completamente positivo, destacando la asesoría, el armado y la calidad del producto."
Sofá Modular Mini Santorini Verdi Ivory,"Hola, compré el sofá modular Santorini hace 3 semanas y todavía no me llega. En la página decía entrega de 8 a 10 días hábiles. Nadie me responde el estado del pedido #OH-45821. Necesito una respuesta hoy por favor.",Logística y envíos,4,Sofá Modular Mini Santorini Verdi Ivory,"El feedback describe un retraso en la entrega del producto (sofá modular Santorini) más allá del plazo prometido, y falta de respuesta sobre el estado del pedido. Esto corresponde a la categoría de logística y envíos. La severidad es alta (4) porque el cliente expresa urgencia y frustración por la falta de comunicación, lo que puede escalar a queja formal o cancelación. La cita textual captura la queja principal. La confianza es alta porque el texto es claro y directo."
Silla De Terraza Olive Verde,"Hermosas las sillas de la colección Olive, el color verde es idéntico al de las fotos. Llegaron antes de lo prometido y muy bien empacadas. Ya pedí la mesa de terraza para completar el set.",Positivo,0,Silla De Terraza Olive Verde,"El feedback es completamente positivo, destacando la apariencia, fidelidad del color, entrega anticipada y empaque, sin mencionar ningún problema o queja."
Cama Mini Palermo Doble Roble Santana,"La cama es preciosa y el armado gratis fue rapidísimo, los técnicos muy amables. Solo mejoraría que avisen la franja horaria de entrega con más anticipación.",logística,2,Cama Mini Palermo Doble Roble Santana,"El feedback es positivo en general, pero incluye una sugerencia de mejora relacionada con la comunicación de la franja horaria de entrega, lo cual corresponde a la categoría de logística. La severidad es baja (2) porque es una sugerencia y no un problema grave. El producto afectado es la cama mencionada. La cita textual es la frase que expresa la mejora. La confianza es alta porque la clasificación es clara."
Sofacama Multifuncional Houston Trigo,El sofacama llegó con una pata rota y la tela del asiento tiene una mancha. Pagué casi 2 millones y medio. Exijo cambio inmediato o devolución del dinero. Adjunto fotos. Pedido #OH-45610.,Producto defectuoso / Dañado,5,Sofacama Multifuncional Houston Trigo,"El feedback reporta dos defectos físicos claros (pata rota y mancha en tela) en el producto específico, con una exigencia de cambio o reembolso, lo que indica una falla grave en la calidad del producto recibido. La severidad es máxima (5) porque el cliente pagó un alto valor y solicita acciones correctivas inmediatas, afectando la experiencia y confianza del cliente."
Mesa De Noche Sion Arena,"Linda mesa de noche, buen acabado de la madera. Le quito una estrella porque el cajón quedó un poco duro al deslizar, toca empujarlo con fuerza.",Funcionalidad,2,Mesa De Noche Sion Arena,"El feedback menciona un problema funcional específico: el cajón de la mesa de noche es difícil de deslizar, lo que afecta la experiencia de uso pero no impide su funcionamiento básico. La severidad se considera baja (2) porque es un inconveniente menor que no compromete la integridad del producto ni su uso principal. La cita textual captura exactamente la queja del cliente."
Silla De Comedor Emilia Avellana Veracruz Crema,Las sillas están bien pero me gustaría que ofrecieran más opciones de tela. Solo había crema y mi comedor es oscuro. Sería genial poder personalizar el tapizado al hacer el pedido.,Sugerencia de personalización,2,Silla De Comedor Emilia Avellana Veracruz Crema,"El feedback expresa una solicitud de mejora en la variedad de telas y la posibilidad de personalizar el tapizado, lo cual es una sugerencia de personalización. La severidad es baja (2) porque no reporta un defecto o problema grave, sino una oportunidad de mejora. El producto afectado es claramente la silla mencionada. La cita textual es directa del feedback. La confianza es alta porque el mensaje es explícito y no ambiguo."
Combo Hogar Mérida Arena Ivory,Intenté pagar el combo del mes con PSE tres veces y la página me saca error al final del checkout. El carrito se vacía y toca empezar de cero. Ya lo intenté en celular y computador. ¿Me pueden ayudar? No quiero perder el descuento.,Problema de pago,4,Combo Hogar Mérida Arena Ivory,"El usuario reporta un error recurrente al intentar pagar con PSE, lo que impide completar la transacción y afecta la experiencia de compra. La severidad es alta (4) porque bloquea el pago y podría generar pérdida del descuento, aunque no es crítica (5) ya que no hay pérdida de datos ni daño al sistema."
Silla Reclinable Coral Houston beige,"La silla reclinable es lo máximo, súper cómoda para teletrabajar y ver TV. El mecanismo reclinable se siente firme y de calidad. Vale cada peso.",Positivo,0,Silla Reclinable Coral Houston beige,"El feedback es completamente positivo, destacando comodidad, calidad y satisfacción general, sin mencionar problemas o quejas. Por lo tanto, se clasifica como positivo con severidad 0 (sin impacto negativo)."
Cuna Evolutiva Rory Arena,"La cuna evolutiva es espectacular, se nota que son fabricantes porque la madera es de excelente calidad. Me encantó que usan maderas cultivadas. Ya la recomendé a dos amigas embarazadas.",Elogio,0,Cuna Evolutiva Rory Arena,"El feedback expresa una opinión muy positiva sobre el producto, destacando la calidad de la madera y el uso de maderas cultivadas, además de indicar que lo ha recomendado. No hay quejas ni problemas, por lo que se clasifica como elogio con severidad 0 (sin impacto negativo)."
Sofá Modular Mini Santorini Verdi Gris,Buenas tardes. En su página dice cobertura de entrega en rutas seleccionadas pero al poner mi dirección en Cartagena no me deja finalizar la compra. ¿Hacen envíos a la costa? ¿Hay algún costo adicional? Gracias.,Logística y envíos,3,Sofá Modular Mini Santorini Verdi Gris,"El feedback es un ticket de soporte que reporta un problema con la cobertura de entrega al intentar comprar el producto específico (Sofá Modular Mini Santorini Verdi Gris) en Cartagena, lo que indica una falla en la logística o información de envíos. La severidad es media (3) porque afecta la capacidad de compra pero no es un defecto del producto ni un problema crítico de seguridad."
Puff Olive Arena Calabria Marfil,El puff es bonito pero me pareció pequeño para el precio. En las fotos se ve más grande. Deberían poner una foto con una persona al lado para tener referencia del tamaño real.,Expectativas vs Realidad,3,Puff Olive Arena Calabria Marfil,"El feedback indica que el producto no cumple con las expectativas de tamaño generadas por las fotos, lo que afecta la percepción de valor. La severidad es media porque es una queja recurrente sobre presentación visual, no un defecto funcional."
Base Cama Sion Doble,"Todo bien con la compra, pero sugiero que implementen un rastreo del pedido en línea. Tener que escribir por WhatsApp cada vez para saber dónde va el envío es desgastante.",Sugerencia de mejora en logística,2,Base Cama Sion Doble,"El feedback expresa una sugerencia para mejorar el proceso de seguimiento de envíos, indicando que el método actual (WhatsApp) es desgastante. No se reporta un problema crítico ni una falla del producto, sino una oportunidad de mejora en la experiencia post-compra. La severidad es baja (2) porque no afecta la funcionalidad del producto ni genera una experiencia negativa grave, pero sí impacta la satisfacción del cliente. El producto afectado es la base de cama mencionada, aunque la sugerencia es transversal al servicio."
Cama Nicho Jenny Sencilla Blanco Frente Nuez,"La cama de mi hija llegó incompleta, faltan los largueros y los tornillos del frente nuez. Los técnicos de armado vinieron y no pudieron hacer nada. Llevo 5 días esperando las piezas y nadie da razón. Pedido #OH-44987.",Producto incompleto / Faltan piezas,4,Cama Nicho Jenny Sencilla Blanco Frente Nuez,"El feedback indica claramente que el producto llegó sin piezas esenciales (largueros y tornillos), lo que impide el armado. La severidad es alta (4) porque el cliente lleva 5 días esperando sin solución, afectando la experiencia de uso y generando insatisfacción. La categoría refleja el problema de faltantes, y la cita textual extraída es representativa del reclamo."
Mesa Comedor Sion Rectangular,"Excelente mesa, robusta y elegante. El servicio de armado gratis es un plus enorme. Los muchachos dejaron todo limpio y se llevaron el empaque.",Positivo,0,Mesa Comedor Sion Rectangular,"El feedback es completamente positivo, destacando la calidad del producto y el servicio de armado. No hay quejas ni problemas, por lo que no aplica severidad."
Sofá 3 Ptos Olive Calabria Marfil,"El sofá es lindo pero la entrega se demoró 18 días y la comunicación fue casi nula. Solo me enteraba de algo cuando yo escribía. El producto bien, la logística mal.",Logística y entrega,3,Sofá 3 Ptos Olive Calabria Marfil,"El feedback se centra en la demora de 18 días en la entrega y la falta de comunicación proactiva por parte de la empresa, lo que corresponde a la categoría de logística y entrega. La severidad es media (3) porque, aunque el producto en sí es bueno, la experiencia de entrega fue negativa y afecta la satisfacción general. El producto afectado es el mencionado en el feedback. La cita textual es la frase completa del usuario. La confianza es alta porque el texto es claro y directamente relacionado con la categoría."
Silla De Terraza Olive Terracota,"Quiero hacer válida la garantía. Compré 4 sillas de terraza hace 2 meses y a una se le descascaró la pintura con la lluvia. Si son para terraza deberían resistir la intemperie, ¿no? ¿Cómo es el proceso del manual de garantía?",Garantía,4,Silla De Terraza Olive Terracota,"El feedback solicita activar la garantía por un defecto de pintura en una silla de terraza, lo que indica un problema de calidad y durabilidad del producto. La severidad es alta (4) porque el cliente está insatisfecho y requiere una solución formal. El producto afectado se menciona explícitamente. La cita textual es la frase completa del cliente. La confianza es alta porque el texto es claro y directo sobre el tema de garantía."
Mesa Centro Sion Cuadrada Arena,"Buena mesa de centro, combina con todo. El único detalle es que llegó con un golpecito en una esquina, nada grave pero para el precio uno espera perfección.",Calidad del producto,2,Mesa Centro Sion Cuadrada Arena,"El feedback menciona un golpe en la esquina del producto, lo que indica un problema de calidad en la entrega. La severidad es baja porque el cliente lo describe como 'nada grave', pero afecta la percepción de perfección esperada por el precio."
Silla Auxiliar Olive Calabria Marfil,"Me encantaría que tuvieran realidad aumentada en la página para ver cómo queda el mueble en mi sala antes de comprar, como hacen otras tiendas. Estuve a punto de no comprar por la duda del tamaño.",Sugerencia de funcionalidad,3,Silla Auxiliar Olive Calabria Marfil,"El feedback expresa un deseo explícito de una funcionalidad (realidad aumentada) que no está disponible actualmente, lo cual es una sugerencia de mejora. La severidad es media (3) porque la falta de esta característica casi impide la compra, pero no es un error crítico. El producto afectado se menciona directamente en el contexto. La cita textual es literal y la confianza es alta porque el texto es claro y directo."
Combo Hogar Mérida Arena Ivory,"Compré el combo del mes y me llegaron el sofá y la mesa, pero faltó el puff. En la factura aparece todo. Llevo una semana escribiendo y me pasan de un asesor a otro sin solución. Muy mal servicio postventa.",Problema de envío / faltante,4,Combo Hogar Mérida Arena Ivory,"El feedback indica claramente un faltante en el pedido (el puff) a pesar de estar facturado, y una experiencia negativa con el servicio postventa por la falta de solución y derivación entre asesores. La severidad es alta (4) porque implica un incumplimiento de entrega y mala atención, afectando la confianza del cliente."
Sofá Modular Mini Santorini Verdi Ivory,"El modular Santorini transformó mi apartamento. Lo mejor es poder reorganizar los módulos según la ocasión. La tela ivory es delicada eso sí, recomiendo el protector de telas.",Calidad del producto,2,Sofá Modular Mini Santorini Verdi Ivory,"El feedback menciona que la tela ivory es delicada, lo que sugiere una posible debilidad en la calidad del material. Aunque la calificación es alta (5 estrellas), la observación sobre la delicadeza de la tela y la recomendación de usar protector indican una preocupación por la durabilidad, clasificándose como severidad baja (2) porque no es un defecto crítico sino una advertencia. El producto afectado es claramente el sofá mencionado."
Mesa De Terraza Olive Verde,Buena experiencia en general. La mesa llegó bien y a tiempo. Le pongo 8 porque el empaque traía demasiado plástico para una marca que se dice sostenible.,Sostenibilidad,3,Mesa De Terraza Olive Verde,"El feedback menciona explícitamente una contradicción entre la promesa de sostenibilidad de la marca y el uso excesivo de plástico en el empaque, lo que corresponde a la categoría de sostenibilidad. La severidad es media (3) porque es una crítica constructiva que no afecta la funcionalidad del producto pero sí la percepción de la marca. El producto afectado es la mesa de terraza Olive Verde, y la cita textual es directa del texto del feedback."
Silla Reclinable Coral Houston beige,Después de un mes de uso el mecanismo reclinable empezó a sonar y se queda trabado a mitad de camino. Necesito visita técnica por garantía. ¿Tiene costo el desplazamiento? Pedido #OH-43215.,Fallo funcional,4,Silla Reclinable Coral Houston beige,"El feedback describe un problema mecánico (sonido y bloqueo) en el mecanismo reclinable de la silla, lo que constituye un fallo funcional. La severidad es alta (4) porque el producto queda inutilizable a mitad de uso y el cliente solicita visita técnica urgente por garantía. La cita textual captura exactamente el problema reportado."
Cuna Evolutiva Rory Arena,"Compramos la cuna Rory para nuestro primer bebé y estamos felices. Que sea evolutiva significa que nos va a durar años. La pintura no tiene olor, eso nos dio mucha tranquilidad.",Experiencia Positiva,1,Cuna Evolutiva Rory Arena,"El feedback expresa satisfacción con el producto, destacando su carácter evolutivo y la ausencia de olor en la pintura, lo que genera tranquilidad. No se mencionan problemas o quejas, por lo que se clasifica como experiencia positiva con severidad baja."
Mueble Auxiliar Sion Arena,"El mueble bien, pero la página web es muy lenta desde el celular, las fotos de los productos cargan a pedazos y el filtro de precios no funciona en la categoría de auxiliares.",Experiencia de usuario web,3,Mueble Auxiliar Sion Arena,"El feedback menciona problemas de rendimiento y funcionalidad en la página web (lentitud, carga de imágenes y filtro roto), lo que corresponde a la categoría de experiencia de usuario web. La severidad es media (3) porque afecta la navegabilidad pero no impide completamente la compra. El producto mencionado es el Mueble Auxiliar Sion Arena, aunque el problema es del sitio web. La cita textual captura exactamente la queja del usuario."
Cama Mini Palermo Queen Roble Santana,"Los señores del armado llegaron 4 horas tarde de la cita y yo pedí permiso en el trabajo. Además dejaron la cama mal nivelada, se mueve toda. Necesito que vuelvan a nivelarla, esta vez puntuales por favor.",Servicio de armado,4,Cama Mini Palermo Queen Roble Santana,El feedback se centra en dos problemas del servicio de armado: retraso de 4 horas que afectó al cliente (quien pidió permiso en el trabajo) y mala nivelación de la cama que provoca inestabilidad. La severidad es alta (4) porque el producto no es funcional y el incumplimiento de horario generó un perjuicio laboral. La cita textual incluye ambos reclamos y la solicitud de solución.
Sofa 2 Ptos Macarena Negro Idilio Crudo,Decepcionado. A los 20 días la tela del sofá Macarena empezó a hacer motas (pilling) y los cojines ya se ven vencidos. Para ser 'fabricantes con 10 años de garantía' la calidad de la tela deja mucho que desear.,Calidad del producto,4,Sofa 2 Ptos Macarena Negro Idilio Crudo,"El feedback describe un defecto de calidad (pilling y deformación de cojines) en un producto específico (Sofa Macarena), lo que indica un problema de fabricación o materiales. La severidad es alta porque afecta la funcionalidad y estética del producto en poco tiempo, y la confianza es alta por la claridad y detalle de la queja."
